customer_id,income,monthly_spend,age,credit_score,default_flag,spend_income_ratio,age_credit_ratio,disposable_income
56,10989,6364,33,699,0,0.5791245791245792,0.04721030042918455,4625
57,9873,1782,20,770,0,0.1804922515952598,0.025974025974025976,8091
58,8675,1209,37,442,1,0.13936599423631124,0.083710407239819,7466
59,3161,6075,41,391,1,1.921860170832015,0.10485933503836317,-2914
60,7297,6030,50,653,0,0.8263670001370427,0.07656967840735068,1267
61,3995,5244,41,350,0,1.3126408010012516,0.11714285714285715,-1249
62,10629,4913,28,489,0,0.4622259855113369,0.05725971370143149,5716
63,4016,4248,25,424,0,1.0577689243027888,0.0589622641509434,-232
64,10869,5853,53,449,1,0.5385040022081148,0.11804008908685969,5016
65,9439,5279,55,613,1,0.5592753469647208,0.08972267536704731,4160
66,10892,1163,57,641,0,0.10677561513037091,0.08892355694227769,9729
67,9863,2498,37,604,0,0.2532697962080503,0.061258278145695365,7365
68,10916,3945,52,353,0,0.36139611579333086,0.14730878186968838,6971
69,11529,4243,42,743,0,0.3680284499956631,0.05652759084791386,7286
70,3878,6227,52,563,1,1.6057246003094379,0.09236234458259325,-2349
71,7887,1995,42,352,0,0.25294788893115255,0.11931818181818182,5892
72,7859,3804,46,304,1,0.4840310472070238,0.1513157894736842,4055
73,9331,4263,35,402,0,0.4568642160540135,0.08706467661691543,5068
74,11571,5732,63,495,1,0.49537637196439377,0.12727272727272726,5839
75,11684,2353,35,649,0,0.20138651146867512,0.053929121725731895,9331
76,10208,6116,19,346,0,0.5991379310344828,0.05491329479768786,4092
77,8276,5159,52,568,1,0.6233687771870469,0.09154929577464789,3117
78,5062,1791,33,669,0,0.35381272224417226,0.04932735426008968,3271
79,3064,4081,58,405,0,1.3319190600522193,0.14320987654320988,-1017
80,11006,3957,53,419,1,0.3595311648191895,0.12649164677804295,7049
81,5568,2136,50,357,1,0.38362068965517243,0.1400560224089636,3432
82,8463,4196,21,645,0,0.4958052699988184,0.03255813953488372,4267
83,5027,3499,50,773,0,0.6960413765665406,0.0646830530401035,1528
84,5695,3652,31,416,0,0.6412642669007902,0.07451923076923077,2043
85,8258,1198,38,426,0,0.14507144587067086,0.0892018779342723,7060
86,8618,2660,37,692,0,0.30865630076583894,0.05346820809248555,5958
87,9736,4597,25,357,0,0.47216516023007393,0.0700280112044818,5139
88,3391,5237,24,812,0,1.5443821881450899,0.029556650246305417,-1846
89,8892,6863,20,395,0,0.7718173639226271,0.05063291139240506,2029
90,6561,6185,34,417,0,0.9426916628562719,0.0815347721822542,376
91,9184,1354,50,787,0,0.14743031358885017,0.06353240152477764,7830
92,6099,6355,29,536,0,1.0419740941137892,0.054104477611940295,-256
93,9278,3974,39,571,0,0.4283250700582022,0.06830122591943957,5304
94,11392,6257,39,488,0,0.5492450842696629,0.07991803278688525,5135
95,6104,5749,63,746,0,0.9418414154652687,0.08445040214477212,355
96,10215,5672,47,546,1,0.5552618697993147,0.08608058608058608,4543
97,5454,2207,55,375,0,0.40465713237990464,0.14666666666666667,3247
98,11996,3277,55,453,0,0.2731743914638213,0.12141280353200883,8719
99,5731,6291,62,734,0,1.0977141860059327,0.08446866485013624,-560
100,11154,2233,25,385,0,0.20019723865877712,0.06493506493506493,8921
